May 20, 2014 09:22:43.692203000|115.238.228.139|202.114.0.242|ucs4.zc.ucweb.com|ucs4.zc.ucweb.com<Root>|600|183.233.224.167
May 20, 2014 09:22:43.692203000|115.238.228.139|202.114.0.242|ucs4.zc.ucweb.com|||
May 20, 2014 09:33:43.692203000|115.238.228.139|202.114.0.242|ucs4.zc.ucweb.com|ucs4.zc.ucweb.com<Root>|600,700|183.233.224.167,188.205.56.76,189.201.33.45
May 20, 2014 09:52:43.692203000|115.238.228.139|202.114.0.242|ucs4.zc.ucweb.com|ucs4.zc.ucweb.com<Root>|600,700,800|183.233.224.167,183.209.30.87
May 20, 2014 09:52:43.693405000|202.112.20.131|211.69.194.180|pan.baidu.com|pan.baidu.com.yiyun.n.shifen.com,n.shishen.com,ns1.n.shifen.com|6858,195,47522,47522,346|119.75.220.50,61.135.165.226,180.149.133.243
May 21, 2014 09:52:43.692203000|174.174.174.74|202.114.60.242|www.aaaa111111.com|www.aaaa111111.com<Root|900|1.1.1.1
May 21, 2014 09:52:43.692203000|174.174.174.74|202.114.60.242|www.bbbb.com|||
May 21, 2014 09:52:43.692203000|174.174.174.74|202.114.60.242|www.111.com|||2.2.2.2,3.3.3.3
May 21, 2014 09:52:43.692203000|174.174.174.74|202.114.60.242|www.222.com|||4.4.4.4
May 21, 2014 09:52:43.692203000|174.174.174.74|202.114.60.242|www.333.com|||3.3.3.3,5.5.5.5
May 21, 2014 09:52:43.692203000|174.174.174.74|202.114.60.242|www.444.com|||3.3.3.3,5.5.5.5,4.4.4.4
